Patient_ID,Animal_Type,Breed,Age,Gender,Visit_Date,Disease,Treatment,Doctor,Treatment_Cost,Treatment_Days,Outcome,Follow_Up,Location
VET0425,Dog,Beagle,4,Male,2026-04-19,Digestive Issues,Medication,Dr. Meena,2000,5,Improving,Yes,Chennai
VET0426,Goat,Boer,17,Female,2026-06-04,Fever,Medication,Dr. Meena,800,5,Recovered,No,Coimbatore
VET0427,Dog,Indian Spitz,13,Female,2025-05-04,Respiratory Infection,Medication,Dr. Meena,3200,9,Improving,Yes,Madurai
VET0428,Cat,Indian Shorthair,5,Male,2025-11-07,Dental Problem,Dental Care,Dr. Meena,2200,5,Improving,Yes,Coimbatore
VET0429,Dog,German Shepherd,4,Female,2025-02-14,Skin Infection,Medication,Dr. Karthik,3300,10,Improving,Yes,Madurai
VET0430,Dog,Indian Spitz,15,Female,2026-07-04,Digestive Issues,Medication,Dr. Arun,1700,6,Recovered,No,Chennai
VET0431,Dog,Pug,14,Male,2025-10-05,Skin Infection,Medication,Dr. Priya,3400,7,Recovered,Yes,Chennai
VET0432,Cat,Bengal,14,Male,2026-01-19,Vaccination,Vaccination,Dr. Rahul,600,1,Recovered,No,Salem
VET0433,Cat,Siamese,12,Female,2025-05-24,Digestive Issues,Medication,Dr. Arun,1200,8,Recovered,No,Coimbatore
VET0434,Dog,German Shepherd,12,Male,2025-08-13,Injury,Surgery,Dr. Priya,4800,20,Recovered,No,Salem
VET0435,Cat,Bengal,10,Male,2025-10-23,Skin Infection,Medication,Dr. Karthik,2300,6,Follow-up Required,Yes,Coimbatore
VET0436,Cow,Jersey,17,Female,2025-11-12,Vaccination,Vaccination,Dr. Rahul,1100,1,Recovered,Yes,Chennai
VET0437,Rabbit,Dutch,9,Female,2026-07-08,Ear Infection,Medication,Dr. Arun,1500,8,Recovered,No,Salem
VET0438,Dog,Labrador,10,Male,2025-11-18,Vaccination,Vaccination,Dr. Priya,500,1,Recovered,Yes,Coimbatore
VET0439,Dog,Beagle,2,Male,2026-03-11,Injury,Surgery,Dr. Priya,4900,19,Improving,Yes,Coimbatore
VET0440,Rabbit,Angora,7,Female,2025-05-08,Skin Infection,Medication,Dr. Rahul,1800,7,Recovered,No,Coimbatore
VET0441,Cat,Indian Shorthair,9,Female,2025-06-13,Fracture,Surgery,Dr. Karthik,14600,20,Recovered,Yes,Coimbatore
VET0442,Rabbit,Dutch,7,Male,2026-01-31,Ear Infection,Medication,Dr. Meena,2100,4,Recovered,No,Tiruppur
VET0443,Cat,Bengal,13,Male,2026-01-07,Ear Infection,Medication,Dr. Rahul,2000,6,Recovered,No,Madurai
VET0444,Dog,Golden Retriever,14,Male,2025-09-08,Skin Infection,Medication,Dr. Rahul,3200,6,Critical,Yes,Coimbatore
VET0445,Cat,Siamese,12,Male,2026-08-24,Dental Problem,Dental Care,Dr. Karthik,3200,2,Recovered,Yes,Salem
VET0446,Bird,Budgerigar,10,Female,2026-06-16,Dental Problem,Dental Care,Dr. Priya,3500,4,Improving,Yes,Chennai
VET0447,Dog,German Shepherd,6,Female,2025-01-29,Ear Infection,Medication,Dr. Rahul,2300,6,Recovered,No,Chennai
VET0448,Cow,Jersey,7,Female,2025-08-31,Fever,Medication,Dr. Meena,1900,4,Recovered,No,Salem
VET0449,Dog,Pug,11,Male,2025-07-19,Parasite Infection,Deworming,Dr. Meena,1500,3,Recovered,No,Salem
VET0450,Cat,Maine Coon,15,Male,2025-02-11,Dental Problem,Dental Care,Dr. Meena,6500,4,Recovered,No,Coimbatore
VET0451,Cat,Persian,8,Male,2025-02-21,Vaccination,Vaccination,Dr. Arun,800,1,Recovered,No,Madurai
VET0452,Cow,Sahiwal,5,Female,2026-08-23,Digestive Issues,Medication,Dr. Rahul,1900,3,Follow-up Required,Yes,Madurai
VET0453,Dog,Indian Spitz,1,Male,2026-01-01,Ear Infection,Medication,Dr. Rahul,2800,6,Recovered,No,Coimbatore
VET0454,Cat,Persian,6,Male,2026-04-12,Digestive Issues,Medication,Dr. Meena,2000,6,Recovered,Yes,Tiruppur
VET0455,Cat,Bengal,15,Female,2025-08-05,Digestive Issues,Medication,Dr. Meena,2100,8,Recovered,No,Coimbatore
VET0456,Cat,Persian,6,Male,2025-06-18,Vaccination,Vaccination,Dr. Priya,800,1,Recovered,No,Coimbatore
VET0457,Dog,Labrador,12,Female,2026-05-31,Skin Infection,Medication,Dr. Arun,2400,7,Recovered,Yes,Coimbatore
VET0458,Dog,Pug,13,Female,2025-10-19,Dental Problem,Dental Care,Dr. Arun,2700,4,Recovered,No,Coimbatore
VET0459,Dog,Golden Retriever,11,Male,2025-09-17,Skin Infection,Medication,Dr. Arun,1900,4,Recovered,No,Salem
VET0460,Dog,Golden Retriever,12,Female,2026-06-14,Parasite Infection,Deworming,Dr. Priya,1800,5,Recovered,No,Tiruppur
VET0461,Dog,Indian Spitz,8,Female,2026-08-21,Respiratory Infection,Medication,Dr. Arun,1800,9,Recovered,No,Tiruppur
VET0462,Dog,Beagle,11,Male,2025-09-03,Vaccination,Vaccination,Dr. Rahul,900,1,Recovered,No,Chennai
VET0463,Cat,Indian Shorthair,2,Male,2025-05-15,Skin Infection,Medication,Dr. Arun,3200,5,Recovered,No,Salem
VET0464,Dog,Golden Retriever,2,Female,2025-04-08,Parasite Infection,Deworming,Dr. Priya,1300,2,Improving,Yes,Salem
VET0465,Cat,Maine Coon,14,Male,2026-02-16,Vaccination,Vaccination,Dr. Priya,700,1,Recovered,No,Coimbatore
VET0466,Dog,Pug,11,Female,2025-09-08,Respiratory Infection,Medication,Dr. Karthik,2600,11,Recovered,Yes,Coimbatore
VET0467,Dog,Golden Retriever,15,Female,2026-08-12,Skin Infection,Medication,Dr. Priya,2800,6,Critical,Yes,Coimbatore
VET0468,Cat,Indian Shorthair,8,Male,2025-01-16,Skin Infection,Medication,Dr. Meena,2800,6,Critical,Yes,Coimbatore
VET0469,Dog,Indian Spitz,6,Female,2025-04-23,Parasite Infection,Deworming,Dr. Arun,2100,1,Recovered,No,Coimbatore
VET0470,Dog,Labrador,14,Female,2026-02-24,Parasite Infection,Deworming,Dr. Arun,1500,3,Recovered,No,Coimbatore
VET0471,Dog,Indian Spitz,11,Female,2025-11-15,Fever,Medication,Dr. Arun,1900,4,Recovered,No,Coimbatore
VET0472,Dog,Labrador,9,Female,2025-11-19,Skin Infection,Medication,Dr. Rahul,2400,9,Improving,Yes,Coimbatore
VET0473,Dog,Indian Spitz,2,Female,2026-01-05,Ear Infection,Medication,Dr. Arun,1300,7,Recovered,No,Madurai
VET0474,Goat,Black Bengal,14,Female,2026-01-09,Fever,Medication,Dr. Karthik,1300,5,Recovered,No,Tiruppur
VET0475,Dog,Indian Spitz,12,Male,2025-10-16,Fever,Medication,Dr. Rahul,1700,5,Improving,Yes,Coimbatore
VET0476,Bird,Budgerigar,3,Female,2026-08-15,Skin Infection,Medication,Dr. Meena,1700,8,Recovered,No,Madurai
VET0477,Dog,Indian Spitz,7,Male,2025-08-02,Skin Infection,Medication,Dr. Arun,1500,5,Referred,Yes,Coimbatore
VET0478,Dog,Golden Retriever,11,Male,2025-12-18,Ear Infection,Medication,Dr. Arun,2300,8,Recovered,No,Madurai
VET0479,Dog,Golden Retriever,2,Female,2025-10-30,Dental Problem,Dental Care,Dr. Meena,6700,4,Recovered,No,Madurai
VET0480,Dog,Pug,15,Male,2025-03-31,Dental Problem,Dental Care,Dr. Rahul,6300,6,Recovered,Yes,Tiruppur
VET0481,Dog,Beagle,9,Female,2026-05-13,Injury,Surgery,Dr. Rahul,11900,10,Referred,Yes,Madurai
VET0482,Dog,Indian Spitz,3,Male,2025-12-21,Skin Infection,Medication,Dr. Rahul,2700,6,Recovered,No,Coimbatore
VET0483,Dog,Labrador,13,Male,2026-05-23,Fever,Medication,Dr. Rahul,1900,4,Recovered,No,Salem
VET0484,Cat,Maine Coon,10,Male,2026-04-26,Fever,Medication,Dr. Priya,1700,5,Improving,Yes,Coimbatore
VET0485,Cat,Indian Shorthair,9,Female,2026-05-06,Digestive Issues,Medication,Dr. Arun,1700,4,Improving,Yes,Coimbatore
VET0486,Dog,Beagle,15,Male,2026-05-31,Digestive Issues,Medication,Dr. Arun,1300,3,Recovered,No,Coimbatore
VET0487,Dog,Beagle,5,Female,2025-03-20,Respiratory Infection,Medication,Dr. Priya,3400,11,Recovered,No,Madurai
VET0488,Dog,Labrador,15,Female,2026-06-05,Fracture,Surgery,Dr. Rahul,8100,25,Recovered,Yes,Coimbatore
VET0489,Dog,Pug,8,Male,2025-11-04,Fever,Medication,Dr. Rahul,900,3,Recovered,No,Tiruppur
VET0490,Dog,Golden Retriever,15,Male,2026-03-10,Fracture,Surgery,Dr. Arun,15900,26,Recovered,No,Madurai
VET0491,Cat,Siamese,3,Female,2025-04-09,Respiratory Infection,Medication,Dr. Karthik,2300,7,Recovered,No,Coimbatore
VET0492,Dog,Indian Spitz,8,Male,2025-11-20,Fever,Medication,Dr. Arun,1800,2,Recovered,No,Madurai
VET0493,Cat,Maine Coon,15,Female,2025-08-20,Parasite Infection,Deworming,Dr. Priya,2400,2,Recovered,No,Chennai
VET0494,Rabbit,New Zealand White,2,Female,2026-06-02,Parasite Infection,Deworming,Dr. Karthik,1600,5,Recovered,Yes,Chennai
VET0495,Dog,German Shepherd,11,Female,2025-07-08,Skin Infection,Medication,Dr. Rahul,1500,6,Follow-up Required,Yes,Madurai
VET0496,Dog,Golden Retriever,4,Female,2025-02-28,Parasite Infection,Deworming,Dr. Rahul,2000,1,Follow-up Required,Yes,Salem
VET0497,Cow,Sahiwal,3,Female,2025-08-25,Ear Infection,Medication,Dr. Meena,1800,6,Follow-up Required,Yes,Coimbatore
VET0498,Goat,Jamunapari,18,Male,2026-04-29,Dental Problem,Dental Care,Dr. Rahul,4200,2,Recovered,No,Tiruppur
VET0499,Rabbit,New Zealand White,4,Female,2026-03-23,Skin Infection,Medication,Dr. Arun,2800,8,Referred,Yes,Coimbatore
VET0500,Dog,German Shepherd,14,Female,2025-12-01,Digestive Issues,Medication,Dr. Karthik,2300,8,Recovered,No,Madurai
VET0501,Goat,Jamunapari,20,Male,2025-01-01,Parasite Infection,Deworming,Dr. Priya,1200,4,Recovered,Yes,Chennai
VET0502,Goat,Black Bengal,6,Female,2026-01-27,Skin Infection,Medication,Dr. Arun,2800,9,Recovered,No,Chennai
VET0503,Dog,Pug,6,Male,2026-04-30,Digestive Issues,Medication,Dr. Arun,3000,4,Recovered,No,Coimbatore
VET0504,Dog,Beagle,2,Female,2026-01-25,Injury,Surgery,Dr. Karthik,9900,9,Referred,Yes,Coimbatore
VET0505,Dog,Pug,2,Male,2025-12-08,Fracture,Surgery,Dr. Arun,14800,16,Recovered,Yes,Madurai
VET0506,Rabbit,Dutch,4,Female,2025-05-05,Respiratory Infection,Medication,Dr. Arun,3500,7,Recovered,No,Salem
VET0507,Rabbit,Lop,7,Female,2026-04-17,Fever,Medication,Dr. Rahul,1800,2,Recovered,No,Madurai
VET0508,Cow,Jersey,15,Female,2025-07-01,Injury,Surgery,Dr. Priya,3900,18,Improving,Yes,Coimbatore
VET0509,Goat,Jamunapari,8,Female,2026-04-15,Vaccination,Vaccination,Dr. Karthik,600,1,Recovered,No,Coimbatore
VET0510,Cat,Persian,12,Female,2026-03-11,Skin Infection,Medication,Dr. Karthik,3200,6,Recovered,No,Coimbatore
VET0511,Dog,Labrador,15,Male,2025-03-24,Skin Infection,Medication,Dr. Rahul,2400,10,Recovered,No,Tiruppur
VET0512,Rabbit,Dutch,10,Female,2026-06-27,Respiratory Infection,Medication,Dr. Arun,3900,6,Recovered,No,Salem
VET0513,Rabbit,New Zealand White,3,Male,2026-04-27,Ear Infection,Medication,Dr. Rahul,2300,8,Recovered,No,Coimbatore
VET0514,Cat,Indian Shorthair,12,Male,2025-03-02,Parasite Infection,Deworming,Dr. Priya,1700,2,Recovered,No,Chennai
VET0515,Dog,Golden Retriever,12,Male,2025-11-23,Fracture,Surgery,Dr. Rahul,9100,29,Critical,Yes,Coimbatore
VET0516,Cat,Maine Coon,2,Male,2025-03-22,Respiratory Infection,Medication,Dr. Arun,4300,8,Improving,Yes,Madurai
VET0517,Dog,Pug,3,Female,2025-02-14,Digestive Issues,Medication,Dr. Karthik,2300,4,Recovered,No,Coimbatore
VET0518,Dog,Pug,11,Male,2025-03-10,Parasite Infection,Deworming,Dr. Rahul,1800,2,Recovered,No,Coimbatore
VET0519,Cat,Indian Shorthair,9,Male,2026-08-06,Skin Infection,Medication,Dr. Arun,2000,5,Recovered,No,Coimbatore
VET0520,Dog,Indian Spitz,7,Female,2025-08-14,Digestive Issues,Medication,Dr. Arun,1800,6,Recovered,No,Coimbatore
VET0521,Dog,German Shepherd,12,Female,2026-07-07,Dental Problem,Dental Care,Dr. Arun,5500,7,Improving,Yes,Coimbatore
VET0522,Cat,Siamese,4,Female,2025-07-18,Fever,Medication,Dr. Priya,800,2,Recovered,Yes,Coimbatore
VET0523,Dog,Pug,5,Female,2025-02-10,Digestive Issues,Medication,Dr. Rahul,1600,8,Recovered,Yes,Salem
VET0524,Dog,Beagle,9,Female,2025-12-03,Skin Infection,Medication,Dr. Priya,2700,8,Recovered,No,Salem
VET0525,Cat,Indian Shorthair,13,Male,2025-10-01,Dental Problem,Dental Care,Dr. Priya,2400,5,Referred,Yes,Coimbatore
VET0526,Rabbit,Dutch,2,Male,2026-02-08,Digestive Issues,Medication,Dr. Karthik,2500,5,Recovered,No,Chennai
VET0527,Dog,Golden Retriever,10,Male,2025-06-03,Skin Infection,Medication,Dr. Priya,1600,9,Follow-up Required,Yes,Salem
VET0528,Dog,Labrador,1,Female,2026-08-11,Fracture,Surgery,Dr. Karthik,11200,17,Recovered,No,Tiruppur
VET0529,Goat,Jamunapari,14,Female,2026-02-12,Ear Infection,Medication,Dr. Priya,2400,9,Recovered,Yes,Coimbatore
VET0530,Dog,Pug,6,Female,2025-05-28,Injury,Surgery,Dr. Arun,6200,14,Recovered,No,Chennai
VET0531,Dog,Beagle,10,Male,2026-05-29,Dental Problem,Dental Care,Dr. Meena,2300,5,Recovered,No,Chennai
VET0532,Cat,Siamese,5,Female,2026-08-01,Ear Infection,Medication,Dr. Arun,1900,4,Recovered,No,Salem
VET0533,Cat,Bengal,14,Male,2025-07-02,Parasite Infection,Deworming,Dr. Karthik,1900,2,Improving,Yes,Coimbatore
VET0534,Cat,Indian Shorthair,6,Female,2026-06-08,Fracture,Surgery,Dr. Karthik,11200,35,Recovered,No,Coimbatore
VET0535,Goat,Black Bengal,7,Male,2025-03-10,Skin Infection,Medication,Dr. Rahul,2000,10,Recovered,Yes,Chennai
VET0536,Cat,Indian Shorthair,10,Male,2025-05-29,Fever,Medication,Dr. Priya,1600,4,Improving,Yes,Madurai
VET0537,Cat,Siamese,12,Male,2025-08-26,Vaccination,Vaccination,Dr. Karthik,1000,1,Recovered,Yes,Coimbatore
VET0538,Cat,Bengal,10,Male,2025-04-16,Skin Infection,Medication,Dr. Priya,2600,9,Critical,Yes,Madurai
VET0539,Rabbit,Dutch,6,Female,2025-11-03,Respiratory Infection,Medication,Dr. Meena,4400,5,Recovered,No,Chennai
VET0540,Dog,Beagle,4,Male,2026-04-05,Fever,Medication,Dr. Priya,1000,3,Recovered,No,Coimbatore
VET0541,Rabbit,New Zealand White,1,Female,2026-02-26,Injury,Surgery,Dr. Meena,8900,10,Critical,Yes,Salem
VET0542,Dog,Indian Spitz,2,Female,2026-07-17,Dental Problem,Dental Care,Dr. Arun,2000,6,Recovered,No,Chennai
VET0543,Dog,Labrador,12,Female,2025-10-25,Injury,Surgery,Dr. Priya,5800,14,Recovered,No,Chennai
VET0544,Dog,German Shepherd,8,Female,2025-12-09,Digestive Issues,Medication,Dr. Priya,1600,3,Improving,Yes,Coimbatore
VET0545,Dog,Beagle,2,Male,2026-02-06,Injury,Surgery,Dr. Rahul,11400,12,Recovered,No,Coimbatore
VET0546,Cow,Gir,4,Male,2026-06-09,Fracture,Surgery,Dr. Priya,12700,18,Improving,Yes,Chennai
VET0547,Cat,Maine Coon,1,Female,2026-06-30,Fever,Medication,Dr. Rahul,1800,3,Referred,Yes,Coimbatore
VET0548,Dog,Golden Retriever,10,Female,2025-09-07,Digestive Issues,Medication,Dr. Meena,2400,6,Referred,Yes,Tiruppur
VET0549,Dog,Indian Spitz,15,Male,2025-10-09,Respiratory Infection,Medication,Dr. Arun,3000,12,Recovered,No,Coimbatore
VET0550,Goat,Boer,20,Male,2025-06-18,Fever,Medication,Dr. Meena,1100,3,Improving,Yes,Madurai
VET0551,Dog,Beagle,1,Female,2025-01-11,Respiratory Infection,Medication,Dr. Rahul,1800,9,Recovered,No,Coimbatore
VET0552,Bird,Lovebird,4,Female,2025-12-02,Fever,Medication,Dr. Priya,1400,6,Recovered,Yes,Salem
VET0553,Rabbit,Angora,5,Female,2025-10-11,Injury,Surgery,Dr. Priya,3500,9,Follow-up Required,Yes,Salem
VET0554,Rabbit,Angora,10,Female,2025-06-30,Parasite Infection,Deworming,Dr. Karthik,1200,1,Improving,Yes,Coimbatore
VET0555,Goat,Jamunapari,19,Female,2025-11-03,Digestive Issues,Medication,Dr. Priya,1700,6,Follow-up Required,Yes,Coimbatore
VET0556,Dog,Beagle,5,Male,2026-06-05,Fever,Medication,Dr. Arun,1300,6,Recovered,No,Coimbatore
VET0557,Cow,Sahiwal,13,Female,2025-07-26,Injury,Surgery,Dr. Arun,6900,16,Recovered,No,Coimbatore
VET0558,Dog,Golden Retriever,3,Female,2025-06-19,Skin Infection,Medication,Dr. Meena,3200,10,Recovered,No,Madurai
VET0559,Dog,German Shepherd,8,Male,2026-01-17,Vaccination,Vaccination,Dr. Karthik,1400,1,Recovered,No,Chennai
VET0560,Goat,Boer,16,Male,2026-01-02,Respiratory Infection,Medication,Dr. Meena,3200,11,Recovered,No,Chennai
VET0561,Cow,Jersey,18,Male,2026-08-11,Skin Infection,Medication,Dr. Priya,2800,8,Recovered,No,Salem
VET0562,Cat,Bengal,5,Male,2025-05-25,Digestive Issues,Medication,Dr. Rahul,2200,7,Improving,Yes,Coimbatore
VET0563,Dog,Beagle,3,Male,2025-10-27,Respiratory Infection,Medication,Dr. Rahul,4200,9,Recovered,No,Coimbatore
VET0564,Cat,Persian,5,Female,2026-01-29,Fever,Medication,Dr. Karthik,2100,4,Follow-up Required,Yes,Chennai
VET0565,Dog,Labrador,5,Female,2025-02-18,Fever,Medication,Dr. Meena,1900,6,Recovered,No,Madurai
VET0566,Cat,Maine Coon,1,Male,2026-03-22,Parasite Infection,Deworming,Dr. Priya,900,3,Recovered,No,Chennai
VET0567,Rabbit,New Zealand White,5,Female,2025-05-07,Digestive Issues,Medication,Dr. Arun,1200,8,Recovered,No,Tiruppur
VET0568,Dog,German Shepherd,9,Male,2025-01-19,Digestive Issues,Medication,Dr. Karthik,2600,3,Follow-up Required,Yes,Salem
VET0569,Dog,Golden Retriever,13,Female,2025-02-24,Respiratory Infection,Medication,Dr. Karthik,3800,8,Recovered,No,Coimbatore
VET0570,Dog,Labrador,2,Male,2025-07-30,Skin Infection,Medication,Dr. Karthik,2000,10,Recovered,No,Chennai
VET0571,Dog,German Shepherd,4,Male,2026-06-13,Injury,Surgery,Dr. Arun,9000,9,Follow-up Required,Yes,Tiruppur
VET0572,Dog,Beagle,5,Female,2025-07-23,Vaccination,Vaccination,Dr. Rahul,600,1,Recovered,No,Chennai
VET0573,Bird,Lovebird,8,Male,2025-10-06,Skin Infection,Medication,Dr. Meena,1700,4,Recovered,No,Chennai
VET0574,Goat,Jamunapari,13,Female,2025-11-17,Parasite Infection,Deworming,Dr. Priya,1400,1,Improving,Yes,Coimbatore
VET0575,Dog,Indian Spitz,6,Female,2025-01-27,Fever,Medication,Dr. Meena,1300,4,Recovered,No,Chennai
VET0576,Rabbit,Lop,2,Female,2025-02-07,Digestive Issues,Medication,Dr. Karthik,3100,3,Critical,Yes,Tiruppur
VET0577,Dog,Beagle,7,Female,2026-02-13,Respiratory Infection,Medication,Dr. Meena,4000,7,Recovered,No,Coimbatore
VET0578,Dog,Labrador,9,Male,2025-05-20,Digestive Issues,Medication,Dr. Priya,1800,7,Improving,Yes,Coimbatore
VET0579,Bird,Cockatiel,10,Male,2025-07-15,Parasite Infection,Deworming,Dr. Meena,1000,1,Improving,Yes,Coimbatore
VET0580,Cat,Siamese,6,Male,2025-11-10,Skin Infection,Medication,Dr. Priya,2700,9,Recovered,No,Coimbatore
VET0581,Dog,Golden Retriever,10,Male,2026-08-02,Skin Infection,Medication,Dr. Rahul,2000,7,Recovered,No,Chennai
VET0582,Dog,Labrador,3,Male,2025-10-04,Fever,Medication,Dr. Karthik,1300,5,Critical,Yes,Salem
VET0583,Dog,Indian Spitz,8,Female,2026-04-18,Digestive Issues,Medication,Dr. Rahul,2500,7,Improving,Yes,Coimbatore
VET0584,Cow,Sahiwal,17,Male,2026-08-12,Fever,Medication,Dr. Priya,900,3,Recovered,No,Chennai
VET0585,Dog,Golden Retriever,10,Female,2026-08-04,Fever,Medication,Dr. Meena,800,6,Recovered,No,Chennai
VET0586,Cat,Persian,13,Male,2025-09-16,Respiratory Infection,Medication,Dr. Priya,2300,6,Recovered,No,Madurai
VET0587,Cat,Maine Coon,13,Female,2025-03-11,Injury,Surgery,Dr. Priya,7300,19,Recovered,No,Chennai
VET0588,Cat,Persian,6,Male,2025-04-01,Injury,Surgery,Dr. Meena,8300,10,Recovered,No,Coimbatore
VET0589,Cat,Indian Shorthair,1,Female,2025-10-16,Injury,Surgery,Dr. Rahul,7300,6,Recovered,Yes,Tiruppur
VET0590,Cat,Siamese,11,Female,2025-10-27,Fever,Medication,Dr. Priya,800,2,Recovered,No,Tiruppur
VET0591,Cat,Persian,5,Male,2025-04-02,Fever,Medication,Dr. Rahul,900,6,Improving,Yes,Coimbatore
VET0592,Dog,Golden Retriever,7,Female,2026-07-13,Fever,Medication,Dr. Priya,1300,4,Recovered,No,Tiruppur
VET0593,Cat,Maine Coon,13,Female,2025-06-28,Respiratory Infection,Medication,Dr. Meena,2500,10,Recovered,No,Madurai
VET0594,Bird,Budgerigar,5,Male,2025-04-12,Respiratory Infection,Medication,Dr. Karthik,1800,7,Recovered,No,Madurai
VET0595,Dog,Beagle,9,Male,2026-05-01,Vaccination,Vaccination,Dr. Meena,1000,1,Recovered,Yes,Chennai
VET0596,Goat,Boer,6,Male,2026-02-19,Digestive Issues,Medication,Dr. Arun,1200,4,Recovered,No,Coimbatore
VET0597,Rabbit,New Zealand White,10,Male,2025-12-12,Injury,Surgery,Dr. Karthik,10800,19,Recovered,No,Coimbatore
VET0598,Dog,Golden Retriever,15,Male,2025-07-27,Fracture,Surgery,Dr. Karthik,17900,35,Critical,Yes,Salem
VET0599,Dog,Golden Retriever,9,Male,2026-04-01,Skin Infection,Medication,Dr. Rahul,2200,4,Recovered,No,Coimbatore
VET0600,Cat,Indian Shorthair,4,Female,2025-02-27,Respiratory Infection,Medication,Dr. Priya,3800,6,Recovered,No,Salem
VET0601,Cow,Sahiwal,5,Female,2026-02-11,Fever,Medication,Dr. Rahul,1900,5,Recovered,No,Coimbatore
VET0602,Dog,Golden Retriever,10,Male,2025-08-08,Fever,Medication,Dr. Meena,1600,6,Recovered,No,Coimbatore
VET0603,Cow,Holstein Friesian,1,Male,2026-03-02,Ear Infection,Medication,Dr. Rahul,2100,4,Recovered,No,Coimbatore
VET0604,Cow,Holstein Friesian,2,Female,2026-02-08,Respiratory Infection,Medication,Dr. Karthik,2300,12,Recovered,Yes,Tiruppur
VET0605,Dog,Indian Spitz,3,Female,2025-11-27,Fever,Medication,Dr. Priya,2000,5,Recovered,No,Salem
VET0606,Cat,Maine Coon,6,Male,2025-09-28,Ear Infection,Medication,Dr. Karthik,1900,5,Recovered,No,Tiruppur
VET0607,Rabbit,Dutch,2,Female,2025-04-13,Vaccination,Vaccination,Dr. Karthik,700,1,Recovered,No,Coimbatore
VET0608,Goat,Boer,15,Female,2026-03-31,Skin Infection,Medication,Dr. Meena,3400,7,Recovered,No,Chennai
VET0609,Cat,Maine Coon,6,Female,2026-03-15,Fever,Medication,Dr. Karthik,1300,2,Recovered,No,Madurai
VET0610,Goat,Malabari,4,Female,2025-06-30,Skin Infection,Medication,Dr. Priya,2900,5,Recovered,No,Madurai
VET0611,Cow,Gir,17,Female,2025-07-07,Skin Infection,Medication,Dr. Arun,2100,6,Improving,Yes,Coimbatore
VET0612,Cow,Holstein Friesian,1,Male,2026-05-10,Injury,Surgery,Dr. Priya,5000,7,Recovered,No,Coimbatore
VET0613,Cat,Bengal,1,Female,2025-04-16,Digestive Issues,Medication,Dr. Rahul,1200,4,Follow-up Required,Yes,Tiruppur
VET0614,Cow,Jersey,18,Male,2026-07-28,Injury,Surgery,Dr. Priya,10700,18,Recovered,No,Coimbatore
VET0615,Dog,German Shepherd,1,Female,2025-08-19,Injury,Surgery,Dr. Priya,4200,15,Recovered,No,Coimbatore
VET0616,Dog,German Shepherd,4,Female,2025-04-22,Vaccination,Vaccination,Dr. Arun,1400,1,Recovered,No,Tiruppur
VET0617,Rabbit,Angora,5,Female,2026-08-04,Parasite Infection,Deworming,Dr. Arun,1600,5,Follow-up Required,Yes,Coimbatore
VET0618,Dog,Beagle,10,Male,2025-09-10,Parasite Infection,Deworming,Dr. Meena,1600,2,Recovered,No,Coimbatore
VET0619,Dog,Beagle,7,Male,2026-03-21,Skin Infection,Medication,Dr. Priya,3200,4,Recovered,No,Coimbatore
VET0620,Dog,Pug,12,Female,2026-01-18,Injury,Surgery,Dr. Karthik,10800,9,Recovered,Yes,Tiruppur
VET0621,Cat,Indian Shorthair,12,Female,2026-04-29,Digestive Issues,Medication,Dr. Rahul,1600,5,Recovered,No,Madurai
VET0622,Dog,Beagle,11,Female,2026-05-06,Fracture,Surgery,Dr. Arun,11300,22,Critical,Yes,Coimbatore
VET0623,Cow,Gir,15,Female,2025-11-24,Digestive Issues,Medication,Dr. Karthik,1400,5,Recovered,No,Chennai
VET0624,Dog,Beagle,3,Male,2026-01-02,Respiratory Infection,Medication,Dr. Rahul,2300,11,Recovered,Yes,Chennai
VET0625,Dog,Labrador,6,Male,2025-09-26,Digestive Issues,Medication,Dr. Priya,2600,3,Recovered,Yes,Coimbatore
VET0626,Cat,Indian Shorthair,10,Female,2026-02-26,Vaccination,Vaccination,Dr. Priya,1100,1,Recovered,Yes,Chennai
VET0627,Cat,Siamese,14,Male,2025-07-05,Skin Infection,Medication,Dr. Meena,1500,9,Recovered,No,Madurai
VET0628,Cat,Siamese,5,Male,2026-01-29,Vaccination,Vaccination,Dr. Rahul,700,1,Recovered,No,Tiruppur
VET0629,Rabbit,New Zealand White,10,Female,2026-03-19,Injury,Surgery,Dr. Meena,6000,7,Recovered,No,Tiruppur
VET0630,Bird,Parrot,5,Male,2025-04-01,Respiratory Infection,Medication,Dr. Rahul,3300,9,Critical,Yes,Chennai
VET0631,Dog,Golden Retriever,11,Male,2025-06-23,Dental Problem,Dental Care,Dr. Priya,2000,4,Recovered,Yes,Tiruppur
VET0632,Dog,Labrador,3,Female,2025-08-03,Vaccination,Vaccination,Dr. Rahul,1300,1,Recovered,No,Coimbatore
VET0633,Goat,Boer,3,Female,2026-01-28,Skin Infection,Medication,Dr. Karthik,2300,10,Recovered,Yes,Tiruppur
VET0634,Dog,Beagle,13,Male,2026-01-14,Injury,Surgery,Dr. Priya,6000,8,Recovered,No,Coimbatore
VET0635,Goat,Jamunapari,11,Male,2025-12-13,Skin Infection,Medication,Dr. Rahul,2500,5,Recovered,No,Tiruppur
VET0636,Cat,Maine Coon,2,Female,2026-06-23,Skin Infection,Medication,Dr. Rahul,2200,5,Recovered,No,Tiruppur
